iter	Passed	Remaining
0	564	281505
1	1074	267621
2	1560	258507
3	1897	235306
4	2059	203853
5	2215	182450
6	2422	170602
7	2670	164253
8	2860	156081
9	3278	160633
10	3794	168674
11	4241	172498
12	4660	174602
13	4989	173215
14	5181	167522
15	5370	162448
16	5557	157891
17	5729	153428
18	5906	149522
19	6106	146565
20	6314	144027
21	6506	141364
22	6810	141242
23	7161	142029
24	7727	146815
25	7991	145698
26	8169	143120
27	8357	140890
28	8541	138719
29	8722	136655
30	8932	135137
31	9070	132652
32	9263	131086
33	9411	128997
34	9605	127611
35	9807	126404
36	10130	126762
37	10578	128617
38	10961	129574
39	11121	127900
40	11283	126324
41	11458	124951
42	11636	123668
43	11769	121971
44	11942	120749
45	12153	119947
46	12317	118719
47	12484	117563
48	12657	116503
49	12876	115892
50	13283	116944
51	13760	118554
52	14177	119570
53	14658	121065
54	15008	121432
55	15191	120446
56	15350	119301
57	15545	118470
58	15721	117512
59	15884	116488
60	16069	115646
61	16242	114744
62	16421	113908
63	16605	113122
64	16787	112347
65	17083	112334
66	17541	113364
67	17976	114201
68	18106	113100
69	18270	112233
70	18441	111429
71	18625	110721
72	18778	109842
73	18951	109097
74	19120	108349
75	19268	107498
76	19426	106716
77	19609	106092
78	19762	105314
79	19930	104636
80	20310	105062
81	20718	105612
82	21048	105750
83	21270	105337
84	21448	104718
85	21622	104089
86	21766	103325
87	21919	102621
88	22103	102072
89	22272	101464
90	22454	100921
91	22654	100468
92	22834	99931
93	23026	99455
94	23569	100479
95	23968	100865
96	24165	100400
97	24337	99831
98	24530	99359
99	24692	98769
100	24884	98307
101	25057	97774
102	25247	97314
103	25425	96811
104	25597	96294
105	25751	95718
106	25932	95245
107	26227	95197
108	26631	95533
109	27067	95965
110	27237	95452
111	27430	95026
112	27573	94433
113	27738	93921
114	27913	93449
115	28066	92908
116	28238	92438
117	28437	92061
118	28564	91453
119	28766	91094
120	28934	90629
121	29190	90442
122	29459	90294
123	29910	90697
124	30179	90539
125	30347	90079
126	30556	89743
127	30732	89317
128	30917	88916
129	31107	88535
130	31291	88143
131	31490	87791
132	31744	87595
133	31918	87179
134	32098	86784
135	32265	86357
136	32450	85983
137	32606	85532
138	32809	85211
139	32994	84843
140	33385	85002
141	33931	85545
142	34511	86158
143	35064	86686
144	35288	86396
145	35480	86027
146	35688	85699
147	35847	85259
148	36021	84855
149	36226	84529
150	36403	84137
151	36630	83864
152	36880	83644
153	37092	83337
154	37283	82985
155	37431	82542
156	37632	82215
157	37838	81903
158	38034	81571
159	38417	81637
160	39020	82160
161	39312	82022
162	39534	81736
163	39711	81360
164	39888	80986
165	40118	80719
166	40345	80450
167	40536	80107
168	40744	79801
169	40940	79473
170	41122	79119
171	41357	78867
172	41549	78536
173	41749	78220
174	41936	77881
175	42093	77490
176	42268	77133
177	42483	76852
178	42712	76596
179	42893	76254
180	43065	75900
181	43244	75558
182	43425	75224
183	43650	74965
184	43835	74639
185	44063	74387
186	44282	74120
187	44489	73834
188	44695	73547
189	44874	73215
190	45101	72965
191	45298	72666
192	45472	72332
193	45651	72007
194	45818	71664
195	46008	71359
196	46205	71066
197	46390	70756
198	46583	70460
199	46744	70116
200	46904	69772
201	47131	69530
202	47303	69207
203	47494	68913
204	47667	68594
205	47846	68285
206	48032	67987
207	48217	67689
208	48391	67378
209	48580	67086
210	48790	66826
211	48985	66546
212	49181	66267
213	49337	65936
214	49483	65594
215	49684	65326
216	49815	64967
217	49974	64646
218	50190	64399
219	50755	64597
220	51109	64522
221	51629	64653
222	52046	64649
223	52308	64451
224	52487	64151
225	52656	63839
226	52821	63524
227	52992	63218
228	53153	62902
229	53533	62843
230	53934	62806
231	54280	62703
232	54423	62364
233	54593	62059
234	54765	61756
235	54976	61499
236	55148	61198
237	55318	60897
238	55545	60658
239	55710	60352
240	55871	60044
241	56063	59770
242	56416	59667
243	56817	59611
244	57243	59579
245	57777	59656
246	58256	59671
247	58418	59361
248	58582	59052
249	58767	58767
250	58923	58454
251	59095	58157
252	59275	57869
253	59447	57575
254	59589	57252
255	59770	56968
256	59938	56673
257	60106	56379
258	60259	56071
259	60787	56111
260	61263	56099
261	61426	55799
262	61568	55481
263	61710	55165
264	61897	54890
265	62057	54591
266	62207	54286
267	62345	53970
268	62559	53721
269	62709	53419
270	62896	53148
271	63064	52862
272	63243	52587
273	63698	52539
274	64183	52513
275	64615	52441
276	65071	52385
277	65358	52192
278	65524	51903
279	65681	51606
280	65824	51300
281	65971	50998
282	66135	50712
283	66275	50406
284	66407	50096
285	66566	49808
286	66725	49520
287	66894	49241
288	67054	48956
289	67214	48672
290	67485	48469
291	67897	48365
292	68322	48269
293	68479	47982
294	68658	47711
295	68803	47418
296	68961	47134
297	69182	46895
298	69325	46603
299	69497	46331
300	69628	46033
301	69791	45757
302	69953	45481
303	70105	45199
304	70320	44959
305	70741	44849
306	71202	44762
307	71455	44543
308	71588	44250
309	71772	43989
310	71934	43716
311	72126	43460
312	72329	43212
313	72532	42965
314	72666	42677
315	72845	42416
316	73038	42163
317	73183	41884
318	73327	41606
319	73849	41540
320	74313	41439
321	74487	41176
322	74682	40924
323	74822	40644
324	75047	40410
325	75219	40147
326	75422	39902
327	75580	39633
328	75759	39376
329	75910	39105
330	76102	38856
331	76317	38618
332	76692	38461
333	77174	38356
334	77662	38251
335	78092	38116
336	78435	37937
337	78619	37681
338	78779	37414
339	78935	37146
340	79102	36883
341	79285	36628
342	79466	36373
343	79680	36134
344	79826	35864
345	79968	35592
346	80151	35340
347	80338	35090
348	80703	34917
349	81196	34798
350	81494	34594
351	81662	34335
352	81846	34083
353	81999	33818
354	82141	33550
355	82313	33295
356	82455	33028
357	82623	32772
358	82810	32524
359	82965	32264
360	83173	32025
361	83334	31768
362	83670	31578
363	84066	31409
364	84446	31233
365	84608	30976
366	84831	30742
367	84992	30486
368	85183	30241
369	85365	29993
370	85509	29732
371	85690	29484
372	85841	29227
373	85965	28961
374	86131	28710
375	86288	28456
376	86580	28247
377	87044	28093
378	87444	27917
379	87590	27660
380	87754	27408
381	87910	27155
382	88036	26893
383	88213	26647
384	88386	26401
385	88541	26149
386	88669	25890
387	88871	25653
388	89046	25409
389	89241	25170
390	89405	24923
391	89587	24682
392	89735	24431
393	89914	24190
394	90085	23946
395	90275	23708
396	90427	23461
397	90590	23216
398	90776	22978
399	90950	22737
400	91173	22509
401	91414	22285
402	91830	22103
403	92216	21912
404	92500	21697
405	92718	21466
406	92850	21216
407	93030	20977
408	93212	20739
409	93383	20498
410	93553	20258
411	93717	20017
412	93931	19787
413	94112	19549
414	94291	19312
415	94447	19071
416	94900	18889
417	95372	18709
418	95585	18478
419	95763	18240
420	95949	18004
421	96123	17766
422	96299	17529
423	96444	17287
424	96644	17054
425	96791	16813
426	96978	16579
427	97179	16347
428	97317	16106
429	97590	15886
430	97965	15683
431	98357	15482
432	98610	15258
433	98755	15018
434	98950	14785
435	99051	14539
436	99233	14306
437	99439	14075
438	99593	13838
439	99762	13603
440	99975	13375
441	100157	13142
442	100356	12912
443	100530	12679
444	100698	12445
445	100893	12215
446	101050	11981
447	101228	11749
448	101421	11520
449	101723	11302
450	102253	11109
451	102588	10894
452	102745	10660
453	102893	10425
454	103037	10190
455	103204	9958
456	103452	9734
457	103629	9503
458	103811	9272
459	104004	9043
460	104112	8807
461	104257	8575
462	104462	8347
463	104617	8116
464	104806	7888
465	104972	7658
466	105120	7428
467	105298	7199
468	105480	6972
469	105835	6755
470	106194	6538
471	106567	6321
472	106715	6091
473	106890	5863
474	107096	5636
475	107259	5408
476	107460	5181
477	107651	4954
478	107804	4726
479	107958	4498
480	108114	4270
481	108278	4043
482	108425	3816
483	108578	3589
484	108969	3370
485	109427	3152
486	109714	2928
487	109923	2703
488	110102	2476
489	110287	2250
490	110481	2025
491	110614	1798
492	110817	1573
493	111008	1348
494	111177	1123
495	111369	898
496	111560	673
497	111930	449
498	112394	225
499	112676	0
